,departuretime,callsign,company,destinationairport,actype,registration,stand,route
,16:30:00,GES171,GestAir,LEMD,GALX,ECKBC,205,IDBID DCT OGERO UZ409 TLD
,15:35:00,TAP1092,TAP Air Portugal,LEVC,AT72,CSDJE,703,GAIOS DCT LASIB UM744 SVL UN747 YES B28 ASTRO
,11:35:00,TAP1140,TAP Air Portugal,LEVX,AT72,CSDJE,702,INBOM DCT STG
,11:20:00,TAP1102,TAP Air Portugal,LEZL,AT72,CSDJH,703,GAIOS DCT LASIB UM744 SANTA
,10:45:00,EZY16ER,Easyjet,LFBD,A319,GEZDD,206,IXIDA DCT TOSDI UN745 ZMR UN976 DGO UL176 XAXUS UP181 VAVIX
,14:15:00,TAP496D,TAP Air Portugal,LFBO,E190,CSTPU,124,IXIDA DCT TOSDI UN745 ZMR UN976 DGO UT429 TOPTU
,15:30:00,RYR52RN,Ryanair,LFBO,B738,EIDAK,206,IXIDA DCT TOSDI UN745 ZMR UN976 DGO UT429 TOPTU
,13:20:00,TAP472,TAP Air Portugal,LFLL,E195,CSTTW,701,IXIDA DCT TOSDI UN745 ZMR UN976 DGO UT429 TOPTU UN871 MEZIN
,14:50:00,EZY72XH,Easyjet,LFLL,A319,GEZBB,209,IXIDA DCT TOSDI UN745 ZMR UN976 DGO UT429 TOPTU UN871 MEZIN
,12:45:00,TAP402J,TAP Air Portugal,LFML,E195,CSTTX,117,IXIDA DCT TOSDI UN745 ZMR UN976 DGO UT429 TOPTU UN871 GAI UT24 FJR
